SPECIES_TYPE	DATA_SOURCE	TXP	CANCER_TYPE	OVERALL_TIMING	SPECIES	tot_muts
FIEs	Tx	N	LUAD-LUSC	unknown	PTPN11	1
FIEs	Tx	N	LUAD-LUSC	unknown	FGFR3	1
FIEs	Tx	N	LUAD-LUSC	unknown	PTEN	1
FIEs	Tx	N	LUAD-LUSC	unknown	APBB1IP	1
FIEs	Tx	N	LUAD-LUSC	unknown	TDP1	1
FIEs	Tx	N	LUAD-LUSC	early	AGXT	1
FIEs	Tx	N	LUAD-LUSC	early	CHD7	1
FIEs	Tx	N	LUAD-LUSC	early	DLD	1
FIEs	Tx	N	LUAD-LUSC	early	FGFR3	1
FIEs	Tx	N	LUAD-LUSC	early	GPT2	1
FIEs	Tx	N	LUAD-LUSC	early	HIST1H2BH	1
FIEs	Tx	N	LUAD-LUSC	early	HIST3H2BB	1
FIEs	Tx	N	LUAD-LUSC	early	HMBS	1
FIEs	Tx	N	LUAD-LUSC	early	PSPH	1
FIEs	Tx	N	LUAD-LUSC	early	RASGRP2	1
FIEs	Tx	N	LUAD-LUSC	early	TOX	1
FIEs	Tx	N	LUAD-LUSC	early	TP63	1
FIEs	Tx	N	LUAD-LUSC	late	CDK8	1
FIEs	Tx	N	LUAD-LUSC	late	CDKN2A	1
FIEs	Tx	N	LUAD-LUSC	late	COTL1	1
FIEs	Tx	N	LUAD-LUSC	late	DPYD	1
FIEs	Tx	N	LUAD-LUSC	late	ERBB2	1
FIEs	Tx	N	LUAD-LUSC	late	HIST1H2BH	1
FIEs	Tx	N	LUAD-LUSC	late	SLC2A3	1
FIEs	Tx	N	LUAD-LUSC	late	CPSF3	1
FIEs	Tx	N	LUAD-LUSC	late	DICER1	1
FIEs	Tx	N	LUAD-LUSC	late	FAP	1
FIEs	Tx	N	LUAD-LUSC	late	GNA14	1
FIEs	Tx	N	LUAD-LUSC	late	INO80	1
FIEs	Tx	N	LUAD-LUSC	late	PCDHA12	1
FIEs	Tx	N	LUAD-LUSC	late	RAC2	1
FIEs	Tx	N	LUAD-LUSC	late	RPL18	1
FIEs	Tx	N	LUAD-LUSC	late	TNS3	1
FIEs	Tx	N	LUAD-LUSC	unknown	EIF4G3	1
FIEs	Tx	N	LUAD-LUSC	unknown	GCHFR	1
