SPECIES_TYPE,DATA_SOURCE,TXP,VARIANT_CLASS,CANCER_TYPE,ANY_REGION_DUPLICATED,PYCLONECLONAL_SC,OVERALL_TIMING,SPECIES,SCORE_THRESHOLD,DRIVERMUT,MUTANT_EXPRESSED,NUM_MUTS,NUM_ROWS
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_78380_4bfmA00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_78380_4bfmA00,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_78558_5d9hA02,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_78558_5d9hA02,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_78647_1vzoA02,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_78730_1lewA02,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_78743_4y72A02,,,TRUE,2,2
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_78743_4y72A02,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_78745_3dpkA02,,,FALSE,2,2
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_78758_1fpuA02,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_78758_1fpuA02,,,TRUE,3,3
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_78758_1fpuA02,,,,3,3
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_78763_2h6dA02,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_78763_2h6dA02,,,TRUE,2,2
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_78768_1apmE01,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_78966_1r0pA02,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_78985_1s9jA02,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_79007_1u46A02,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_79224_2clqA02,,TRUE,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_79228_2zv2A02,MC3,TRUE,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_79228_2zv2A02,,TRUE,TRUE,3,3
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_79228_2zv2A02,,,,2,2
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_79298_1b6cB02,,,,2,2
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_79392_5l2qA02,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_79392_5l2qA02,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.510.10_79517_4pwnA02,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.533.10_3111_4n1jA00,,,FALSE,2,2
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.533.10_5107_2dbfA01,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.533.10_5146_3ygsP00,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.533.10_5156_4d8oA04,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.533.10_5158_4i16A00,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.533.10_5203_2n1fA00,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.533.10_5221_2l9mA00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.540.10_15764_1egcA01,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.555.10_2069_5jcpA01,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.555.10_3968_2osaA00,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.555.10_3968_2osaA00,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.630.10_29314_1tqnA00,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.630.10_29337_1og2A00,,,FALSE,2,2
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.630.10_29337_1og2A00,,,TRUE,4,4
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.630.10_29452_2iagA00,,,FALSE,3,3
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.630.10_29452_2iagA00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.630.10_29452_2iagA00,,,,2,2
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.640.10_1593_5f19A02,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.640.10_1611_1cxpC00,,,FALSE,2,2
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.640.10_1611_1cxpC00,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.8.50_5336_3w0fA02,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.1020.10_323_1l3eB00,,TRUE,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.1110.10_14619_1iwoA02,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.1110.10_14688_3b8eA02,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.120.350_4198_3lutB02,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.1250.10_8115_1evsA00,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.1270.60_4554_3lllA01,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.1270.60_4662_4fzsA00,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.1270.60_4662_4fzsA00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.1280.50_10802_1p22A01,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.140.10_16374_1egcA03,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.140.10_16374_1egcA03,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.140.30_460_4lqqB00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.1420.10_112_2kbbA00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.1440.80_715_2zw3A00,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.1440.80_715_2zw3A00,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.1480.20_35_2m9xA01,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.1560.10_26651_3g5uA01,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.245.10_1006_3d3lA01,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.5.110_5744_1gl2C00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.5.170_17832_1t2kD00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.5.170_18075_3a5tA00,,,FALSE,2,2
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.5.170_18190_1gk4A00,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.5.170_18257_1ci6B00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.5.260_185_1ezvI00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.5.50_13772_3ghgA00,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.58.390_2640_4cofA02,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.80.10_2751_1ni2A02,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.80.10_2751_1ni2A02,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.90.10_1904_3eloA00,,,FALSE,2,2
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.20.900.10_3381_4d0nB01,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.25.10.10_4745_1w63A00,,,TRUE,2,2
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.25.10.10_68662_1b3uA00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.25.10.10_68699_1u6gC00,,,,2,2
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.25.10.10_69161_3dadA00,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.25.10.10_69180_3w3uA01,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.25.10.10_70133_1wa5C00,,,TRUE,2,2
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.25.40.10_144984_1b89A00,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.25.40.10_145396_3hymB00,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.25.40.180_4248_4cemA00,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.25.40.180_4439_3juiA00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.25.40.20_3759_3deoA02,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.25.40.20_62059_1n11A00,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.25.40.20_62066_4rlyA00,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.25.40.20_62346_1a5eA00,MC3,TRUE,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.25.40.20_62346_1a5eA00,,,TRUE,1,1
